Tank Number,Date,Treatment,Full,Experiment Number,Name,Annotation status,Annotation area,ACfor,Fung,Lobo,Monti,Pcyl,Pryu,Shys,Spis,B_ACfor,B_Fung,B_Lobo,B_Monti,B_Pcyl,B_Pryu,B_Shys,B_Spis,Sarco,Xeni,Zoo,Sand,DSUB,ART,CYAN,Other,Unc,Bry_pen,Caul,CCA,Chl_fas,Dict,Hali,Hyp,Lobph,Macro,Sarg,Turf
12,02-01-16,Y,F,3,12_02.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,3,1,0,11,11,14,3,2,0,0,0,1,0,5,6,0,0,35,2,0
2,02-01-16,G,F,3,2_02.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,15,2,0,7,6,6,5,0,0,0,0,1,0,10,4,0,0,28,6,0
3,02-01-16,R,F,3,3_02.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,1,0,14,8,10,33,6,0,0,0,0,0,2,2,0,0,11,8,0
4,02-01-16,B,F,3,4_02.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,2,0,0,1,0,0,0,2,0,1,1,0,0,0,14,0,0,5,22,16,26,0,0,0,0,0,0,0,0,0,0,9,0,0
5,02-01-16,B,F,3,5_02.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,5,0,1,0,0,0,0,1,0,0,0,0,7,0,2,3,0,8,14,10,3,0,0,0,0,1,0,13,22,0,0,8,0,0
6,02-01-16,G,F,3,6_02.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,0,0,1,5,0,0,0,1,0,0,1,0,3,5,0,2,0,6,5,10,35,0,0,0,0,1,0,7,1,0,0,13,3,0
7,02-01-16,Y,F,3,7_02.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,6,0,0,0,0,1,0,0,0,0,2,0,0,3,0,25,14,14,16,0,0,0,0,0,0,3,1,0,0,11,3,0
8,02-01-16,B,F,3,8_02.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,2,0,1,0,3,0,0,0,1,1,1,3,0,0,5,8,2,0,10,11,7,22,4,0,0,0,5,0,0,1,0,0,10,1,0
9,02-01-16,R,F,3,9_02.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,12,17,24,1,0,0,0,0,0,2,0,0,0,33,0,0
10,08-01-16,R,F,3,10_08.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,3,18,2,0,0,0,0,0,0,0,4,1,0,0,66,0,0
1,08-01-16,Y,F,3,1_08.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,14,25,4,2,0,0,0,0,0,0,2,0,0,0,45,1,0
11,08-01-16,G,F,3,11_08.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,0,2,4,0,0,0,0,1,1,0,0,1,3,0,4,0,0,8,14,11,10,1,0,0,0,0,0,2,5,0,0,32,0,0
12,08-01-16,Y,F,3,12_08.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,9,5,11,2,0,0,0,0,0,0,1,4,0,0,64,0,0
2,08-01-16,G,F,3,2_08.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,7,3,0,5,6,8,24,0,0,0,0,0,0,12,5,0,0,22,2,0
3,08-01-16,R,F,3,3_08.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,9,9,41,0,0,0,0,0,0,0,0,0,0,26,2,0
4,08-01-16,B,F,3,4_08.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,4,0,1,1,4,0,0,0,0,5,1,0,0,0,1,0,11,1,0,2,12,16,31,0,0,0,0,2,0,0,0,0,0,8,0,0
5,08-01-16,B,F,3,5_08.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,1,1,0,5,0,0,0,0,0,1,0,0,1,4,0,0,8,0,3,13,15,8,0,0,0,0,1,0,14,3,0,0,20,0,0
6,08-01-16,G,F,3,6_08.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,1,5,6,0,0,0,1,0,0,0,0,0,0,1,6,0,6,2,10,39,0,0,0,0,0,0,4,1,0,0,16,2,0
7,08-01-16,Y,F,3,7_08.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,6,0,24,15,13,8,0,0,0,0,0,0,0,0,0,0,28,0,0
8,08-01-16,B,F,3,8_08.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,0,0,3,2,3,0,2,0,5,0,0,2,1,0,0,2,2,0,3,16,4,21,1,0,0,0,1,0,0,0,0,0,28,2,0
9,08-01-16,R,F,3,9_08.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,6,10,10,0,0,0,0,0,0,0,0,0,0,68,0,0
10,15-01-16,R,F,3,10_15.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,16,8,13,0,0,0,0,2,0,4,4,0,0,43,3,0
11,15-01-16,G,F,3,11_15.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,2,0,1,0,0,0,0,0,0,0,0,3,2,0,3,6,0,8,8,12,22,0,0,0,0,2,0,3,7,0,0,20,1,0
1,15-01-16,Y,F,3,1_15.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,4,0,0,0,0,2,0,0,0,2,4,0,0,0,0,13,20,13,3,1,0,0,0,0,0,4,0,0,0,34,0,0
12,15-01-16,Y,F,3,12_15.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,2,0,0,0,0,2,1,0,0,0,2,0,1,0,0,14,13,7,10,0,0,0,0,0,0,4,5,0,0,39,0,0
2,15-01-16,G,F,3,2_15.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,6,0,2,1,4,0,0,0,0,1,0,0,0,0,4,0,10,4,0,7,4,10,5,1,0,0,0,0,0,5,2,0,0,31,3,0
3,15-01-16,R,F,3,3_15.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,9,11,51,0,0,0,0,0,0,1,0,0,0,20,0,0
4,15-01-16,B,F,3,4_15.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,2,1,1,7,1,0,0,0,3,1,0,0,1,0,0,1,1,0,0,25,13,31,0,0,0,0,0,0,0,0,0,0,11,0,0
5,15-01-16,B,F,3,5_15.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,2,1,4,0,0,0,0,0,1,0,0,0,6,0,0,5,0,18,26,17,3,0,0,0,0,0,0,1,0,0,0,15,0,0
6,15-01-16,G,F,3,6_15.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,5,18,9,27,0,0,0,0,0,0,7,2,0,0,20,1,0
7,15-01-16,Y,F,3,7_15.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,6,0,0,0,0,2,0,0,0,0,4,0,0,1,0,17,22,13,15,0,0,0,0,0,0,2,0,0,0,18,0,0
8,15-01-16,B,F,3,8_15.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,0,0,4,2,0,2,0,4,0,0,1,0,0,2,6,2,0,1,11,9,28,0,0,0,0,3,0,0,0,0,0,24,0,0
9,15-01-16,R,F,3,9_15.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,4,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,5,11,14,0,0,0,0,0,0,0,0,0,0,60,0,0
10,23-01-16,R,F,3,10_23.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,0,0,9,11,5,8,2,0,0,0,0,0,11,5,0,0,35,8,0
11,23-01-16,G,F,3,11_23.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,3,0,0,2,0,0,0,0,1,0,0,1,1,0,5,3,0,12,12,8,20,1,0,0,0,1,0,8,9,0,0,12,0,0
12,23-01-16,Y,F,3,12_23.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,10,18,14,10,0,0,0,0,0,0,7,2,0,0,30,1,0
1,23-01-16,Y,F,3,1_23.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,2,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,14,21,15,14,3,0,0,0,0,0,6,6,0,0,9,2,0
2,23-01-16,G,F,3,2_23.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,1,1,2,0,0,0,0,0,0,0,2,4,0,5,1,0,15,8,10,27,0,0,0,0,0,0,9,3,0,0,9,2,0
3,23-01-16,R,F,3,3_23.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,12,50,0,0,0,0,0,0,2,0,0,0,6,0,0
4,23-01-16,B,F,3,4_23.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,2,2,0,3,0,0,0,1,0,0,0,0,0,1,10,1,0,7,22,15,24,1,0,0,0,2,0,2,0,0,0,4,1,0
5,23-01-16,B,F,3,5_23.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,5,4,3,0,2,0,0,0,0,0,0,0,4,0,1,0,0,23,23,20,0,1,0,0,0,0,0,2,0,0,0,9,1,0
6,23-01-16,G,F,3,6_23.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,5,1,2,0,10,16,11,18,5,0,0,0,1,0,8,1,0,0,16,0,0
7,23-01-16,Y,F,3,7_23.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,27,10,17,28,0,0,0,0,0,0,2,0,0,0,6,4,0
8,23-01-16,B,F,3,8_23.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,2,1,0,0,0,0,1,1,4,1,1,3,3,0,3,6,3,0,4,12,9,17,2,0,0,0,1,0,2,0,0,0,18,4,0
9,23-01-16,R,F,3,9_23.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,13,17,0,0,0,0,0,0,1,0,0,0,51,1,0
10,29-01-16,R,F,3,10_29.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,10,6,10,1,0,0,0,0,0,26,9,0,0,31,3,0
11,29-01-16,G,F,3,11_29.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,1,4,0,0,0,0,0,0,0,2,0,0,4,1,0,4,0,0,2,19,9,33,0,0,0,0,0,0,9,7,0,0,4,0,0
12,29-01-16,Y,F,3,12_29.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,14,15,11,11,0,0,0,0,0,0,2,7,0,0,32,1,0
1,29-01-16,Y,F,3,1_29.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,14,22,14,11,0,0,0,0,0,0,4,9,0,0,19,2,0
2,29-01-16,G,F,3,2_29.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,4,2,0,6,11,14,11,0,0,0,0,0,0,8,17,0,0,15,1,0
3,29-01-16,R,F,3,3_29.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,7,13,66,2,0,0,0,0,0,0,0,0,0,3,0,0
4,29-01-16,B,F,3,4_29.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,1,2,1,1,0,0,0,3,1,0,0,2,0,1,14,0,0,7,25,10,21,1,0,0,0,1,0,1,0,0,0,6,0,0
5,29-01-16,B,F,3,5_29.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,3,1,5,1,2,0,0,0,1,0,0,0,5,0,0,1,0,26,19,17,4,1,0,0,0,0,0,2,1,0,0,9,0,0
6,29-01-16,G,F,3,6_29.01.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,3,2,1,2,0,0,0,3,0,3,0,1,3,4,0,1,0,3,10,8,33,5,0,0,0,0,0,8,1,0,0,8,0,0
7,29-01-16,Y,F,3,7_29.01.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,17,18,45,1,0,0,0,0,0,1,0,0,0,4,1,0
8,29-01-16,B,F,3,8_29.01.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,1,1,0,1,1,0,0,0,3,1,0,2,2,0,5,10,3,0,5,15,6,19,1,0,0,0,1,0,1,0,0,0,17,3,0
9,29-01-16,R,F,3,9_29.01.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,18,11,25,0,0,0,0,1,0,0,0,0,0,36,0,0
10,05-02-16,R,F,3,10_05.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,11,6,12,6,0,0,0,1,0,3,14,0,0,36,2,0
1,05-02-16,Y,F,3,1_05.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,11,9,13,22,0,0,0,0,0,0,4,8,0,0,24,1,0
11,05-02-16,G,F,3,11_05.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,2,0,0,0,0,0,0,2,0,1,0,3,1,0,5,1,0,2,7,7,29,0,0,0,0,2,0,8,14,0,0,13,2,0
12,05-02-16,Y,F,3,12_05.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,10,14,15,4,2,0,0,0,1,0,0,5,0,0,44,0,0
2,05-02-16,G,F,3,2_05.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,1,9,1,0,3,8,17,15,2,0,0,0,1,0,3,12,0,0,21,0,0
3,05-02-16,R,F,3,3_05.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,14,54,3,0,0,0,0,0,0,1,0,0,15,0,0
4,05-02-16,B,F,3,4_05.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,3,0,2,2,0,0,0,1,0,0,1,0,1,1,15,0,0,7,15,11,21,0,0,0,0,0,0,1,0,0,0,11,7,0
5,05-02-16,B,F,3,5_05.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,2,4,3,1,2,0,0,1,0,0,1,1,6,0,1,2,0,26,18,19,0,2,0,0,0,0,0,1,3,0,0,6,0,0
6,05-02-16,G,F,3,6_05.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,1,1,0,0,0,0,3,0,0,0,2,3,3,0,1,0,0,13,8,37,1,0,0,0,2,0,5,3,0,0,14,3,0
7,05-02-16,Y,F,3,7_05.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,7,15,64,0,0,0,0,0,0,2,0,0,0,9,0,0
8,05-02-16,B,F,3,8_05.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,2,0,1,0,0,0,0,0,3,1,1,1,2,0,3,7,4,0,7,12,12,16,1,0,0,0,3,0,0,0,0,0,22,0,0
9,05-02-16,R,F,3,9_05.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,16,11,44,3,0,0,0,0,0,0,0,0,0,21,0,0
10,12-02-16,R,F,3,10_12.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,5,9,4,17,0,0,0,0,0,0,4,8,0,0,49,0,0
11,12-02-16,G,F,3,11_12.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,5,2,0,2,6,6,13,0,0,0,0,1,0,11,18,0,0,28,0,0
1,12-02-16,Y,F,3,1_12.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,13,14,3,4,0,0,0,0,0,0,5,4,0,0,51,1,0
12,12-02-16,Y,F,3,12_12.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,4,0,9,12,15,2,0,0,0,0,0,0,0,4,0,0,50,0,0
2,12-02-16,G,F,3,2_12.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,2,0,3,10,17,11,0,0,0,0,0,0,11,21,0,0,16,0,0
3,12-02-16,R,F,3,3_12.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,9,15,43,1,0,0,0,0,0,0,0,0,0,24,1,0
4,12-02-16,B,F,3,4_12.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,0,2,6,2,0,0,0,9,0,0,1,0,2,0,16,0,0,4,22,16,4,0,0,0,0,1,0,0,0,0,0,14,0,0
5,12-02-16,B,F,3,5_12.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,4,3,3,1,0,0,0,1,0,0,1,0,6,0,0,2,0,18,21,20,1,0,0,0,0,1,0,2,5,0,0,9,1,0
6,12-02-16,G,F,3,6_12.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,1,2,0,0,0,0,0,0,0,0,4,1,2,0,2,0,7,8,9,45,0,0,0,0,0,0,7,3,0,0,8,1,0
7,12-02-16,Y,F,3,7_12.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,14,18,42,0,0,0,0,0,0,1,0,0,0,9,1,0
8,12-02-16,B,F,3,8_12.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,4,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,7,5,0,1,4,8,42,1,0,0,0,1,0,0,0,0,0,20,0,0
9,12-02-16,R,F,3,9_12.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,5,9,41,0,0,0,0,1,0,1,0,0,0,39,0,0
10,19-02-16,R,F,3,10_19.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,20,7,24,0,0,0,0,0,0,1,6,0,0,31,1,0
11,19-02-16,G,F,3,11_19.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,0,1,0,0,0,0,3,2,0,3,1,1,4,0,0,2,9,4,12,1,0,0,0,0,0,14,32,0,0,9,1,0
1,19-02-16,Y,F,3,1_19.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,20,9,10,8,1,0,0,0,0,0,4,3,0,0,31,7,0
12,19-02-16,Y,F,3,12_19.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,0,0,0,0,0,3,2,0,0,0,1,0,0,1,0,14,21,13,0,2,0,0,0,0,0,1,17,0,0,24,0,0
2,19-02-16,G,F,3,2_19.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,0,0,1,0,0,0,0,1,0,0,0,0,4,0,5,3,0,7,2,17,22,0,0,0,0,0,0,1,19,0,0,14,2,0
3,19-02-16,R,F,3,3_19.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,4,11,52,6,0,0,0,0,0,0,1,0,0,15,1,0
4,19-02-16,B,F,3,4_19.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,3,2,0,4,1,0,0,1,0,2,1,1,0,0,11,1,0,6,26,10,18,0,0,0,0,1,0,0,0,0,0,7,3,0
5,19-02-16,B,F,3,5_19.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,1,5,4,2,0,3,0,0,0,0,0,2,1,7,0,0,1,0,22,18,17,0,2,0,0,0,1,0,1,6,0,0,6,0,0
6,19-02-16,G,F,3,6_19.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,2,0,0,2,0,4,0,1,0,2,7,3,1,1,0,6,10,9,35,0,0,0,0,1,0,3,2,0,0,9,1,0
7,19-02-16,Y,F,3,7_19.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15,17,13,30,0,0,0,0,0,0,4,3,0,0,11,2,0
8,19-02-16,B,F,3,8_19.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,2,3,0,0,0,0,0,0,0,4,0,1,1,3,0,6,14,0,0,8,8,7,18,3,0,0,0,5,0,0,0,0,0,16,1,0
9,19-02-16,R,F,3,9_19.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,8,8,17,1,0,0,0,0,0,1,0,0,0,52,6,0
10,26-02-16,R,F,3,10_26.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,14,18,8,18,3,0,0,0,2,0,7,9,0,0,15,1,0
11,26-02-16,G,F,3,11_26.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,0,1,5,0,1,8,5,33,1,0,0,0,3,0,16,12,0,0,6,2,0
12,26-02-16,Y,F,3,12_26.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,13,20,10,1,0,0,0,0,0,0,5,13,0,0,32,0,0
1,26-02-16,Y,F,3,1_26.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,4,0,2,0,0,0,0,2,1,0,0,2,1,0,0,0,0,23,18,6,19,0,0,0,0,0,0,1,0,0,0,15,6,0
2,26-02-16,G,F,3,2_26.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,4,0,0,1,0,0,0,0,0,1,0,2,0,3,2,2,1,0,12,9,16,11,0,0,0,0,0,0,6,23,0,0,6,1,0
3,26-02-16,R,F,3,3_26.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,7,7,9,61,2,0,0,0,0,0,0,0,0,0,9,0,0
4,26-02-16,B,F,3,4_26.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,1,3,1,0,6,0,0,0,2,0,4,2,0,0,0,11,1,0,12,26,16,6,0,0,0,0,2,0,0,0,0,0,7,0,0
5,26-02-16,B,F,3,5_26.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,2,4,6,4,0,2,0,0,0,0,2,1,0,2,0,1,3,0,21,16,15,0,1,0,0,0,0,0,6,7,0,0,6,1,0
6,26-02-16,G,F,3,6_26.02.2016_G.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,1,1,1,0,0,3,0,0,0,1,0,2,7,3,1,2,0,14,14,11,36,0,0,0,0,0,0,1,0,0,0,2,0,0
7,26-02-16,Y,F,3,7_26.02.2016_Y.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12,18,15,47,0,0,0,0,0,0,2,0,0,0,2,0,0
8,26-02-16,B,F,3,8_26.02.2016_B.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,1,2,0,0,0,0,0,1,1,3,0,2,0,4,0,4,11,1,0,5,10,8,19,0,0,0,0,1,0,5,1,0,0,20,1,0
9,26-02-16,R,F,3,9_26.02.2016_R.JPG,Unconfirmed,X: 10 - 90% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,3,6,4,18,0,0,0,0,0,0,2,0,0,0,55,8,0
